nombre, apellido, code, evento, phone, respuesta
Raul, Rodriguez, R1, boda, 1234567890, pendiente
Maria, Lopez, M1, boda, 1234567890, pendiente
Juan, Perez, J1, boda, 1234567890, pendiente
Ana, Garcia, A1, boda, 1234567890, pendiente
Pedro, Martinez, P1, boda, 1234567890, pendiente
Laura, Hernandez, L1, boda, 1234567890, pendiente
Carlos, Sanchez, C1, boda, 1234567890, pendiente
Sofia, Ramirez, S1, boda, 1234567890, pendiente
Luis, Torres, L2, boda, 1234567890, pendiente
Elena, Flores, E1, boda, 1234567890, pendiente
